Type of alternative energy used - hydropower (water use),Town,State of the lighting network - bad,refArea,Existence of alternative energy - exists,State of the lighting network - acceptable,State of the power grid - good,Existence of alternative energy - does not exist,Observation URI,State of the power grid - bad,publisher,Type of alternative energy used - solar energy,State of the lighting network - good,dataset,Type of alternative energy used - wind energy,references,State of the power grid - acceptable,Type of alternative energy used - other
0,Aabrine,0,http://dbpedia.org/resource/Batroun_District,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aabrine,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aachach,0,http://dbpedia.org/resource/Zgharta_District,0,1,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aachach,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aachqout,0,http://dbpedia.org/resource/Keserwan_District,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aachqout,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aadaysseh Marjaayoun,0,http://dbpedia.org/resource/Marjeyoun_District,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aadaysseh+Marjaayoun,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aadchit Ech-Chqif,0,https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aadchit+Ech-Chqif,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aadchit El-Qoussair,0,http://dbpedia.org/resource/Marjeyoun_District,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aadchit+El-Qoussair,0,Impact Open Data,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aadloun,0,http://dbpedia.org/resource/Sidon_District,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aadloun,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aadoussiyeh,0,http://dbpedia.org/resource/Sidon_District,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aadoussiyeh,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aafsdiq,0,https://dbpedia.org/page/North_Governorate,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aafsdiq,1,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Aanoub,1,http://dbpedia.org/resource/Aley_District,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Aanoub,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Aarab Rachaya,0,https://dbpedia.org/page/Beqaa_Governorate,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Aarab+Rachaya,0,Impact Open Data,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Aata,0,https://dbpedia.org/page/Beqaa_Governorate,1,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Aata,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,1
0,Aain Dara,0,http://dbpedia.org/resource/Aley_District,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Dara,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Drafil,0,http://dbpedia.org/resource/Aley_District,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Drafil,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Ed-Delb,0,http://dbpedia.org/resource/Sidon_District,0,1,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Ed-Delb,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Ed-Delbe,1,http://dbpedia.org/resource/Byblos_District,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Ed-Delbe,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Ej-Jdideh Aaley,0,http://dbpedia.org/resource/Aley_District,0,0,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Ej-Jdideh+Aaley,0,Impact Open Data,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain El Saydeh,0,http://dbpedia.org/resource/Aley_District,1,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+El+Saydeh,0,Impact Open Data,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain El-Ghouaybeh,0,http://dbpedia.org/resource/Byblos_District,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+El-Ghouaybeh,0,Impact Open Data,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain El-Kharroubeh,0,http://dbpedia.org/resource/Matn_District,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+El-Kharroubeh,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain El-Qabu,1,http://dbpedia.org/resource/Matn_District,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+El-Qabu,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Er-Rihane,0,http://dbpedia.org/resource/Keserwan_District,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Er-Rihane,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Er-Roummaneh Aaley,0,http://dbpedia.org/resource/Aley_District,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Er-Roummaneh+Aaley,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Es-Sindiane,0,http://dbpedia.org/resource/Matn_District,0,0,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Es-Sindiane,0,Impact Open Data,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Et-Teffaha,0,http://dbpedia.org/resource/Matn_District,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Et-Teffaha,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Et-Tineh-Miniyeh,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Et-Tineh-Miniyeh,0,Impact Open Data,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Ez-Zeit,0,https://dbpedia.org/page/Akkar_Governorate,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Ez-Zeit,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Ez-Zeitouneh,1,http://dbpedia.org/resource/Matn_District,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Ez-Zeitouneh,1,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Fraidis,0,http://dbpedia.org/resource/Aley_District,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Fraidis,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Harsha,0,https://dbpedia.org/page/Beqaa_Governorate,0,0,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Harsha,0,Impact Open Data,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Ibl,0,http://dbpedia.org/resource/Bint_Jbeil_District,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Ibl,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Jarfa,1,http://dbpedia.org/resource/Hasbaya_District,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Jarfa,0,Impact Open Data,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Jrain,1,http://dbpedia.org/resource/Byblos_District,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Jrain,1,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Kfaa,0,http://dbpedia.org/resource/Byblos_District,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Kfaa,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Kfar Zabad,0,http://dbpedia.org/resource/ZahlÃ©_District,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Kfar+Zabad,1,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Ksour,0,http://dbpedia.org/resource/Aley_District,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Ksour,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Mouaffaq,0,http://dbpedia.org/resource/Baabda_District,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Mouaffaq,0,Impact Open Data,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Ouzain,1,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Ouzain,1,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Qana,0,https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Qana,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Qania,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Qania,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Qinia,0,http://dbpedia.org/resource/Hasbaya_District,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Qinia,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Saadeh,0,http://dbpedia.org/resource/Matn_District,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Saadeh,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Tinta,0,https://dbpedia.org/page/Akkar_Governorate,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Tinta,1,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Traz,0,http://dbpedia.org/resource/Aley_District,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Traz,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Yaaqoub,0,https://dbpedia.org/page/Akkar_Governorate,1,1,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Yaaqoub,0,Impact Open Data,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aain Zebdeh,0,http://dbpedia.org/resource/Western_Beqaa_District,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Zebdeh,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain Zhalta,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+Zhalta,0,Impact Open Data,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aain challal,0,http://dbpedia.org/resource/Byblos_District,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aain+challal,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aainbal,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aainbal,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aaita Ej-Jabal,0,http://dbpedia.org/resource/Bint_Jbeil_District,0,1,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aaita+Ej-Jabal,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aaiyat,0,https://dbpedia.org/page/Akkar_Governorate,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aaiyat,0,Impact Open Data,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aajaltoun,0,http://dbpedia.org/resource/Keserwan_District,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aajaltoun,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aakkar El-Aatiqa,0,https://dbpedia.org/page/Akkar_Governorate,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aakkar+El-Aatiqa,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aaley,1,http://dbpedia.org/resource/Aley_District,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aaley,1,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aaley Bsatine,0,http://dbpedia.org/resource/Aley_District,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aaley+Bsatine,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aali En-Nahri,0,http://dbpedia.org/resource/ZahlÃ©_District,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aali+En-Nahri,0,Impact Open Data,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aalma,0,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aalma,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aalma Ech-Chaab,0,http://dbpedia.org/resource/Tyre_District,1,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aalma+Ech-Chaab,0,Impact Open Data,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aalman,1,http://dbpedia.org/resource/Marjeyoun_District,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aalman,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aalmane Ech-Chouf,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aalmane+Ech-Chouf,0,Impact Open Data,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aamaret El-Baykat,0,https://dbpedia.org/page/Akkar_Governorate,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aamaret+El-Baykat,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aamayer,0,https://dbpedia.org/page/Akkar_Governorate,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aamayer,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aamchit,0,http://dbpedia.org/resource/Byblos_District,0,0,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aamchit,0,Impact Open Data,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aammatour,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aammatour,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aammiq Ech-Chouf,0,http://dbpedia.org/resource/Western_Beqaa_District,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aammiq+Ech-Chouf,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aana,0,http://dbpedia.org/resource/Western_Beqaa_District,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aana,1,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aandqet,0,https://dbpedia.org/page/Akkar_Governorate,0,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aandqet,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,1,0
0,Aanjar (Haouch Moussa),1,http://dbpedia.org/resource/ZahlÃ©_District,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aanjar+%28Haouch+Moussa%29,1,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,Aanout,1,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Electricity-Aanout,1,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Electricity-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0
